Year,Team,Web_Finish,List_Finish
1979,Glassboro,1,1
1979,Condors,2,2
1979,Michigan State,3,3
1979,Orlando,4,4
1979,Cornell,5,5
1980,Glassboro,1,1
1980,Aerodisc,2,2
1980,Michigan State,3,3
1980,Condors,4,4
1980,Sky Pilots,5,5
1981,Condors,1,1
1981,Knights of Nee,2,2
1981,Sky Pilots,3,3
1981,Hostages,4,4
1981,Michigan State,5,5
1982,Rude Boys,1,1
1982,Tunas,2,2
1982,Gang,3,3
1982,Hostages,4,4
1982,Windy City,5,5
1982,Sky Pilots,6,6
1982,Chain Lightning,7,7
1982,Glassboro,8,8
1982,Fun Hogs,9,9
1982,Flying Circus,10,10
1983,Windy City,1,1
1983,Spinoffs,2,2
1983,Sky Pilots,3T,3
1983,Condors,3T,4
1983,Tunas,5T,5
1983,Rude Boys,5T,6
1983,The Gang,7T,7
1983,Static Disc,7T,8
1983,Kaboom,9T,9
1983,Fat Women,9T,10
1984,Tunas,1,1
1984,Flying Circus,2,2
1984,Windy City,3T,3
1984,Condors,3T,4
1984,Kaboom,5T,5
1984,Rude Boys,5T,6
1984,Miami Refugees,7T,7
1984,Fat Women,7T,8
1984,Static Disc,9T,9
1984,The Gang,9T,10
1985,Flying Circus,1,1
1985,Kaboom,2,2
1985,Windy City,3T,3
1985,Tunas,3T,4
1985,Titanic,5T,5
1985,Rivals,5T,6
1985,Mr. Pouce,7T,7
1985,Condors,7T,8
1985,COGZ,9T,9
1985,Chain Lightning,9T,10
1986,Windy City,1,1
1986,Flying Circus,2,2
1986,Titanic,3T,3
1986,Kaboom,3T,4
1986,Tunas,5T,5
1986,Condors,5T,6
1986,Texas Heat,7T,7
1986,Chain Lightning,7T,8
1986,Mr. Pouce,9T,9
1986,R & B,9T,10
1987,New York,1,1
1987,Windy City,2,2
1987,Tunas,3T,3
1987,Titanic,3T,4
1987,Tsunami,5T,5
1987,Condors,5T,6
1987,Looney Tunes,7T,7
1987,Chain Lightning,7T,8
1987,Yo Mama,9T,9
1987,Drivers,9T,10
1987,Mr. Bubble,11T,11
1987,Texas Heat,11T,12
1988,Tsunami,1,1
1988,Titanic,2,2
1988,Windy City,3T,3
1988,New York,3T,4
1988,Looney Tunes,5T,5
1988,Condors,5T,6
1988,Grafitti,7T,7
1988,Polo Club,7T,8
1988,Philmore,9T,9
1988,Miami,9T,10
1988,Tunas,11T,11
1988,Splat,11T,12
1989,New York,1,1
1989,Tsunami,2,2
1989,Titanic,3T,3
1989,Iguanas,3T,4
1989,Windy City,5T,5
1989,Oregon Donors,5T,6
1989,Amanata,7T,7
1989,Philmore,7T,8
1989,Looney Tunes,9T,9
1989,Chain Lightning,9T,10
1989,Earth Atomizer,11T,11
1989,Jaga,11T,12
1990,New York,1,1
1990,Iguanas,2,2
1990,Windy City,3T,3
1990,First Time Gary,3T,4
1990,Earth Atomizer,5T,5
1990,Tsunami,5T,6
1990,Amanata,7T,7
1990,Arm & Hammer,7T,8
1990,Chain Lightning,9T,9
1990,Condors,9T,10
1990,Electric Pig,11T,11
1990,Vicious Cycle,11T,12
1991,New York,1,1
1991,Big Brother,2,2
1991,Iguanas,3T,3
1991,South Bay,3T,4
1991,Graffiti,5T,5
1991,East Bay,5T,6
1991,Windy City,7T,7
1991,Refugees,7T,8
1991,Electric Pig,9T,9
1991,Philmore,9T,10
1991,"Team ""O""",11T,11
1991,Chain Lightning,11T,12
1992,New York,1,1
1992,Commonwealth,2,2
1992,Windy City,3T,3
1992,Rhino Slam!,3T,4
1992,Ring of Fire,5T,5
1992,East Bay,5T,6
1992,Graffiti,7T,7
1992,Vicious Cycle,7T,8
1992,Refugees,9T,9
1992,Iguanas,9T,10
1992,Night Train,11T,11
1992,Port City Slickers,11T,12
1993,New York,1,1
1993,Double Happiness,2,2
1993,Big Brother,3T,3
1993,Rhino Slam!,3T,4
1993,Night Train,5T,5
1993,Ring of Fire,5T,6
1993,Refugees,7T,7
1993,South Coast,7T,8
1993,Windy City,9T,9
1993,Trouble Club,9T,10
1993,Graffiti,11T,11
1993,Chain Lightning,11T,12
1994,Death or Glory,1,1
1994,Double Happiness,2,2
1994,Chesapeake,3T,3
1994,Cojones,3T,4
1994,Z,5T,5
1994,Ring of Fire,5T,6
1994,Big River,7T,7
1994,Boulder Stains,7T,8
1994,Refugees,9T,9
1994,Chain Lightning,9T,10
1994,Cornell,11T,11
1994,Rhino Slam!,11T,12
1995,Death or Glory,1,1
1995,Sockeye,2,2
1995,Cojones,3T,3
1995,Double Happiness,3T,4
1995,Port City Slickers,5T,5
1995,Chain Lightning,5T,6
1995,Refugees,7T,7
1995,San Diego,7T,8
1995,Z,9T,9
1995,Ring of Fire,9T,10
1995,Lemon,11T,11
1995,Cornell,11T,12
1996,Death or Glory,1,1
1996,Sockeye,2,2
1996,Z,3T,3
1996,Nice Guys,3T,4
1996,Refugees,5T,5
1996,Chain Lightning,5T,6
1996,Rage,7T,7
1996,Snapple,7T,8
1996,Boulder Beer,9T,9
1996,Saucy Jack,9T,10
1996,Randall's Island,11T,11
1996,Huckin' Foosiers,11T,12
1996,Port City Slickers,13T,13
1996,Big Ass Truck,13T,14
1997,Death or Glory,1,1
1997,Sockeye,2,2
1997,Z,3T,3
1997,Ring of Fire,3T,4
1997,WUDI,5T,5
1997,Double Happiness,5T,6
1997,Anodyne,7T,7
1997,Condors,7T,8
1997,Pump House 5,9T,9
1997,RoQ,9T,10
1997,Chain Lightning,11T,11
1997,Johnny Bravo,11T,12
1997,Big Ass Truck,13T,13
1997,Houndz,13T,14
1998,Death or Glory,1,1
1998,Condors,2,2
1998,Ring of Fire,3T,3
1998,WSL,3T,4
1998,Furious George,5T,5
1998,Houndz,5T,6
1998,Sub Zero,7T,7
1998,Parking Lot JAM,7T,8
1998,Z,9T,9
1998,Miami Refugees,9T,10
1998,Rage,11T,11
1998,Los Guapos,11T,12
1998,Pump House 5,13T,13
1998,Red Tide,13T,14
1999,Death or Glory,1,1
1999,Condors,2,2
1999,Sub Zero,3T,3
1999,Furious George,3T,4
1999,Ring of Fire,5T,5
1999,JAM,5T,6
1999,Blaze of Glory,5T,7
1999,Houndz,5T,8
1999,Madison,9,9
1999,Anodyne,10,10
1999,WSL,11,11
1999,Florida,12,12
1999,Secret Squirrel,13,13
1999,Booty Quake,14,14
1999,Second Wind,15,15
1999,Red Tide,16,16
2000,Condors,1,1
2000,Furious George,2,2
2000,Death or Glory,3T,3
2000,JAM,3T,4
2000,Ring of Fire,5,5
2000,Florida,6,6
2000,Sockeye,7,7
2000,Sub Zero,8,8
2000,FBI,9,9
2000,Bomb Squad,10,10
2000,Cbass,11,11
2000,Madison,12,12
2000,Second Wind,13,13
2000,Johnny Bravo,14,14
2000,Houndz,15,15
2000,Blackjack,16,16
2001,Condors,1,1
2001,Jam,2,2
2001,Death or Glory,3T,3
2001,Furious George,3T,4
2001,Sub Zero,5,5
2001,Johnny Bravo,6,6
2001,Electric Pig,7,7
2001,New York,8,8
2001,Sockeye,9,9
2001,Bonzi,10,10
2001,Madison,11,11
2001,Warriors,12,12
2001,Ring of Fire,13,13
2001,Florida,14,14
2001,Big Ass Truck,15,15
2001,Doublewide,16,16
2002,Furious George,1,1
2002,Ring of Fire,2,2
2002,Death or Glory,3T,3
2002,Sockeye,3T,4
2002,Condors,5T,5
2002,Johnny Bravo,5T,6
2002,Chain Lightning,7T,7
2002,Sub Zero,7T,8
2002,Boss Hogg,9,9
2002,Pike,10,10
2002,Vicious Cycle,11,11
2002,Machine,12,12
2002,New York,13,13
2002,PBR Streetgang,14,14
2002,Electric Pig,15,15
2002,Madison,16,16
2003,Furious George,1,1
2003,Condors,2,2
2003,Jam,3T,3
2003,Ring of Fire,3T,4
2003,Death or Glory,5T,5
2003,Sockeye,5T,6
2003,Doublewide,7T,7
2003,Johnny Bravo,7T,8
2003,G-Unit,9,9
2003,Chain Lightning,10,10
2003,Boss Hogg,11,11
2003,Vicious Cycle,12,12
2003,Big Ass Truck,13,13
2003,Pike,14,14
2003,Electric Pig,15,15
2003,Sub Zero,16,16
2004,Sockeye,1,1
2004,Jam,2,2
2004,Furious George,3T,3
2004,Pike,3T,4
2004,Death or Glory,5,5
2004,Johnny Bravo,6,6
2004,Condors,7T,7
2004,Ring of Fire,7T,8
2004,Big Ass Truck,9,9
2004,Doublewide,10,10
2004,Kaos,11,11
2004,Chain Lightning,12,12
2004,Sub Zero,13,13
2004,Electric Pig,14,14
2004,GOAT,15,15
2004,Machine,16,16
2005,Furious George,1,1
2005,Sockeye,2,2
2005,Jam,3T,3
2005,Death or Glory,3T,4
2005,Johnny Bravo,5,5
2005,Sub Zero,6,6
2005,Pike,7,7
2005,Doublewide,8,8
2005,Condors,9,9
2005,Potomac,10,10
2005,Metal,11,11
2005,Big Ass Truck,12,12
2005,Ring of Fire,13,13
2005,Chain Lightning,14,14
2005,Vicious Cycle,15,15
2005,PBR Streetgang,16,16
2006,Sockeye,1,1
2006,Furious George,2,2
2006,Chain Lightning,3T,3
2006,Johnny Bravo,3T,4
2006,Revolver,5,5
2006,Rhino,6,6
2006,Death or Glory,7T,7
2006,Ring of Fire,7T,8
2006,Metal,9,9
2006,Sub Zero,10,10
2006,Condors,11,11
2006,Machine,12,12
2006,Vicious Cycle,13,13
2006,Truck Stop,14,14
2006,BAT,15,15
2006,Monster,16,16
2007,Sockeye,1,1
2007,Johnny Bravo,2,2
2007,GOAT,3T,3
2007,Jam,3T,4
2007,Boston Ultimate,5T,5
2007,Truck Stop,5T,6
2007,Chain Lightning,7T,7
2007,Sub Zero,7T,8
2007,Furious George,9,9
2007,Condors,10,10
2007,Ring of Fire,11,11
2007,Machine,12,12
2007,Rhino,13,13
2007,Doublewide,14,14
2007,Pike,15,15
2007,The Van Buren Boys,16,16
2008,Jam,1,1
2008,Ironside,2,2
2008,Chain Lightning,3T,3
2008,Johnny Bravo,3T,4
2008,Revolver,5,5
2008,GOAT,6,6
2008,Ring of Fire,7T,7
2008,Sockeye,7T,8
2008,Sub Zero,9,9
2008,Machine,10,10
2008,Doublewide,11,11
2008,Bodhi,12,12
2008,Condors,13,13
2008,PoNY,14,14
2008,Truck Stop,15,15
2008,El Diablo,16,16
2009,Chain Lightning,1,1
2009,Revolver,2,2
2009,Ironside,3T,3
2009,Sockeye,3T,4
2009,Doublewide,5,5
2009,Ring of Fire,6,6
2009,Jam,7,7
2009,Johnny Bravo,8,8
2009,Truck Stop,9,9
2009,Madison Club,10,10
2009,Bohdi,11,11
2009,GOAT,12,12
2009,Madcow,13,13
2009,Machine,14,14
2009,Streetgang,15,15
2009,Pike,16,16
2010,Revolver,1,1
2010,Ironside,2,2
2010,Doublewide,3T,3
2010,Sockeye,3T,4
2010,Chain Lightning,5T,5
2010,Truck Stop,5T,6
2010,Ring of Fire,7T,7
2010,Southpaw,7T,8
2010,Johnny Bravo,9,9
2010,PoNY,10,10
2010,Madison Club,11,11
2010,Furious George,12,12
2010,Machine,13,13
2010,Tanasi,14,14
2010,Streetgang,15,15
2010,Madcow,16,16
2011,Revolver,1,1
2011,Ironside,2,2
2011,Chain Lightning,3T,3
2011,Doublewide,3T,4
2011,Ring of Fire,5,5
2011,Southpaw,6,6
2011,Madison Club,7,7
2011,GOAT,8,8
2011,Machine,9,9
2011,Truck Stop,10,10
2011,Johnny Bravo,11,11
2011,Oakland,12,12
2011,Furious George,13,13
2011,Condors,14,14
2011,Sub Zero,15,15
2011,Tanasi,16,16
2012,Doublewide,1,1
2012,Revolver,2,2
2012,Ironside,3T,3
2012,Ring of Fire,3T,4
2012,Machine,5,5
2012,GOAT,6,6
2012,Chain Lightning,7T,7
2012,Sockeye,7T,8
2012,Madison Club,9,9
2012,Rhino,10,10
2012,Furious George,11,11
2012,Johnny Bravo,12,12
2012,Sub Zero,13T,13
2012,Truck Stop,13T,14
2012,Boost Mobile,15,15
2012,PoNY,16,16
2013,Revolver,1,1
2013,Sockeye,2,2
2013,Ironside,3,3
2013,Johnny Bravo,4,4
2013,Doublewide,5,5
2013,Machine,6,6
2013,Chain Lightning,7T,7
2013,GOAT,7T,8
2013,PoNY,9T,9
2013,Sub Zero,9T,10
2013,Ring of Fire,11,11
2013,Florida United,12,12
2013,Condors,13,13
2013,Furious George,14,14
2013,Truck Stop,15,15
2013,Madcow,16,16
2014,Johnny Bravo,1,1
2014,Ironside,2,2
2014,GOAT,3T,3
2014,Ring of Fire,3T,4
2014,Revolver,5,5
2014,Rhino,6,6
2014,Truck Stop,7T,7
2014,Chain Lightning,7T,8
2014,Sockeye,9T,9
2014,Doublewide,9T,10
2014,PoNY,11,11
2014,Temper,12,12
2014,Furious George,13,13
2014,Machine,14,14
2014,Prairie Fire,15,15
2014,Sub Zero,16,16
2015,Revolver,1,1
2015,Sockeye,2,2
2015,Machine,3T,3
2015,Ironside,3T,4
2015,Doublewide,5,5
2015,Ring of Fire,6,6
2015,Truck Stop,7T,7
2015,Prairie Fire,7T,8
2015,Madison Club,9T,9
2015,Sub Zero,9T,10
2015,Patrol,11,11
2015,GOAT,12,12
2015,High Five,13,13
2015,Johnny Bravo,14,14
2015,Rhino,15T,15
2015,Florida United,15T,16
2016,Ironside,1,1
2016,Revolver,2,2
2016,Johnny Bravo,3T,3
2016,Ring of Fire,3T,4
2016,Sockeye,5T,5
2016,Truck Stop,5T,6
2016,High Five,7T,7
2016,Patrol,7T,8
2016,Doublewide,9T,9
2016,Furious George,9T,10
2016,Prairie Fire,11,11
2016,H.I.P.,12,12
2016,Madison Club,13,13
2016,Machine,14,14
2016,Dig,15T,15
2016,PoNY,15T,16
2017,Revolver,1,1
2017,Doublewide,2,2
2017,Ring of Fire,3,3
2017,Truck Stop,4,4
2017,Ironside,5,5
2017,Dig,6,6
2017,PoNY,7,7
2017,Sub Zero,8,8
2017,Florida United,9T,9
2017,Johnny Bravo,9T,10
2017,Machine,11,11
2017,Sockeye,12,12
2017,High Five,13,13
2017,GOAT,14,14
2017,Condors,15,15
2017,Patrol,16,16
2018,PoNY,1,1
2018,Revolver,2,2
2018,Sockeye,3T,3
2018,Ring of Fire,3T,4
2018,Truck Stop,5,5
2018,Doublewide,6,6
2018,Sub Zero,7T,7
2018,High Five,7T,8
2018,Furious George,9T,9
2018,Machine,9T,10
2018,Johnny Bravo,11,11
2018,Temper,12,12
2018,Rhino Slam!,13,13
2018,Madison Club,14,14
2018,Chain Lightning,15,15
2018,DiG,16,16
2019,Sockeye,1,1
2019,Machine,2,2
2019,Ring of Fire,3T,3
2019,PoNY,3T,4
2019,Truck Stop,5,5
2019,Revolver,6,6
2019,Rhino Slam!,7T,7
2019,Sub Zero,7T,8
2019,Doublewide,9T,9
2019,Furious George,9T,10
2019,Condors,11,11
2019,Temper,12,12
2019,GOAT,13,13
2019,DiG,14,14
2019,Johnny Bravo,15,15
2019,Chain Lightning,16,16
